,Algtype,2_discrepancy_obtained,2_NumExamples,100_discrepancy_obtained,100_NumExamples,200_discrepancy_obtained,200_NumExamples,300_discrepancy_obtained,300_NumExamples,400_discrepancy_obtained,400_NumExamples,500_discrepancy_obtained,500_NumExamples,600_discrepancy_obtained,600_NumExamples,700_discrepancy_obtained,700_NumExamples,800_discrepancy_obtained,800_NumExamples,900_discrepancy_obtained,900_NumExamples,1000_discrepancy_obtained,1000_NumExamples,1100_discrepancy_obtained,1100_NumExamples,1200_discrepancy_obtained,1200_NumExamples,1300_discrepancy_obtained,1300_NumExamples,1400_discrepancy_obtained,1400_NumExamples,1500_discrepancy_obtained,1500_NumExamples,1600_discrepancy_obtained,1600_NumExamples,1700_discrepancy_obtained,1700_NumExamples,1800_discrepancy_obtained,1800_NumExamples,1900_discrepancy_obtained,1900_NumExamples,2000_discrepancy_obtained,2000_NumExamples
0,AWP,0.8740885069620427,0,0.6258696028902185,3483,0.4398704024991178,6444,0.378132605022303,8037,0.2958746988693692,10209,0.2389258028351346,12000,0.2167603106526882,12889,0.20054805129091915,13460,0.17589067122091342,14343,0.15820801644868376,14986,0.13969600582049022,16056,0.12016765380908405,16872,0.10605837710578636,17604,0.09278970235218076,18379,0.08235033288365433,18850,0.07188365140289202,19300,0.06325709480287364,19786,0.05881486830839864,20077,0.05524010210739522,20303,0.05183483749566666,20622,0.04822772449533111,20985
1,EMPIRICAL,0.8740885069620427,0,0.7538145832607384,3483,0.6143831980901119,6444,0.5529036462541619,8037,0.4793097572783888,10209,0.41953643562718346,12000,0.3667117299667242,12889,0.3664663183821165,13460,0.3234655876734006,14343,0.2987556717019911,14986,0.28012919306489525,16056,0.2267090767344265,16872,0.22202544004801808,17604,0.1918283423537002,18379,0.17606469537184413,18850,0.15735977078392174,19300,0.15349267915929032,19786,0.14021549557341456,20077,0.12814382441069533,20303,0.1200288537213844,20622,0.10525274904758272,20985
2,UNIFORM,0.8740885069620427,0,0.7015797092505967,3483,0.6188316411498214,6444,0.5803793918041136,8037,0.4818199426928271,10209,0.4302666652609183,12000,0.3424346546464938,12889,0.3802686218858948,13460,0.3079228732632159,14343,0.2621285623813565,14986,0.2565184458769195,16056,0.2312343001474884,16872,0.2044233302270353,17604,0.167931455853909,18379,0.1709517625612738,18850,0.15541503573245152,19300,0.13023306288208236,19786,0.1364909270217048,20077,0.1263696968800317,20303,0.11123630959708636,20622,0.09919040781402018,20985
3,WEIGHT,0.8740885069620427,0,0.7321436356705088,3483,0.5995027034078048,6444,0.5039814514467896,8037,0.4316835153159366,10209,0.3571861395252792,12000,0.3375408133238609,12889,0.31986935065439825,13460,0.2856680644959957,14343,0.25777371913568586,14986,0.2211943967408186,16056,0.2195674925648166,16872,0.1722107299964397,17604,0.16025266780102446,18379,0.15034475427097455,18850,0.13522201871090586,19300,0.12357595038919747,19786,0.10926647217965978,20077,0.10958218261394252,20303,0.09419227312499984,20622,0.09070888518342284,20985
4,AWP,0.8740885069620427,0,0.6019661873423234,3532,0.4790321408937182,5684,0.4191329729366456,6987,0.34240663661421644,8957,0.30120354719022696,10162,0.2530647268364199,11588,0.20588411800517936,13156,0.1871947475295668,14006,0.16833118506507525,14711,0.1506678474588843,15389,0.1379448105060563,15872,0.12400416998722899,16497,0.10877528723878263,17481,0.09530239932574362,18013,0.08738373200998227,18616,0.08036951461309648,19014,0.07223951278970787,19467,0.06895854037724666,19664,0.06210600652244482,20130,0.0581239750163942,20464
5,EMPIRICAL,0.8740885069620427,0,0.7385462438992837,3532,0.6765520588503184,5684,0.5964423848514646,6987,0.5248403825786472,8957,0.4758559857881138,10162,0.4277603416085516,11588,0.34851067208398345,13156,0.34394836804895085,14006,0.3001966408468185,14711,0.2944633949220321,15389,0.2458699140508621,15872,0.24306525748406105,16497,0.209796409537328,17481,0.2028734751185927,18013,0.16941451043457606,18616,0.16750515357804505,19014,0.15130801490077908,19467,0.13091232606670894,19664,0.12169682049654425,20130,0.12095176862416172,20464
6,UNIFORM,0.8740885069620427,0,0.7363711499698969,3532,0.6639927926500787,5684,0.5814417225980234,6987,0.5310505692295499,8957,0.4384228552279186,10162,0.39984490830382,11588,0.3571921270742438,13156,0.3158971327280278,14006,0.2844786030790726,14711,0.2767895905011824,15389,0.23983858275988426,15872,0.23124542615911725,16497,0.1887314791986947,17481,0.1867672736476831,18013,0.16076561369542575,18616,0.1474500532849092,19014,0.1431126150758076,19467,0.1257071899358393,19664,0.1117980055560472,20130,0.11844590835322015,20464
7,WEIGHT,0.8740885069620427,0,0.6996260064326264,3532,0.6185122799905288,5684,0.5421400223530616,6987,0.462570251793344,8957,0.4190437406911516,10162,0.3534228363183475,11588,0.3092610971460615,13156,0.2758426985210617,14006,0.2492592805338599,14711,0.24331168217961266,15389,0.22270919140282727,15872,0.20154933182564866,16497,0.1801169893584068,17481,0.15775364839649142,18013,0.1458494522207318,18616,0.13299449523740092,19014,0.1260799154722917,19467,0.10845361498660992,19664,0.11812826272734472,20130,0.0986418435666438,20464
8,AWP,0.8740885069620427,0,0.6476770058495712,3484,0.4494380106415423,6403,0.39314318725063374,7783,0.3349593030692989,9252,0.2923152501410169,10582,0.2656120743668292,11465,0.20822872679575466,13171,0.17770758150012805,14283,0.1539749613034547,15031,0.12838482408347496,16235,0.11791604703654705,16792,0.1013363272444908,17533,0.08284518042449733,18474,0.07437317601847587,19102,0.06819233977340566,19494,0.06314320839924452,19859,0.05734347650975289,20228,0.05217279737487362,20754,0.04817463308183802,21058,0.04481164093085981,21377
9,EMPIRICAL,0.8740885069620427,0,0.7211131853071968,3484,0.6002382967363276,6403,0.5972205661179883,7783,0.5220143560343488,9252,0.4429454363221729,10582,0.4284691149059383,11465,0.366074920802968,13171,0.30972144039409644,14283,0.3014332305619145,15031,0.2659610648043304,16235,0.24390013118101045,16792,0.2207343920501591,17533,0.20020388978898407,18474,0.195886395696727,19102,0.1629737979381758,19494,0.14333878932432895,19859,0.13326988197729564,20228,0.12782255342019225,20754,0.10604883942035356,21058,0.10111404519276786,21377
