,Algtype,2_discrepancy_obtained,2_NumExamples,100_discrepancy_obtained,100_NumExamples,200_discrepancy_obtained,200_NumExamples,300_discrepancy_obtained,300_NumExamples,400_discrepancy_obtained,400_NumExamples,500_discrepancy_obtained,500_NumExamples,600_discrepancy_obtained,600_NumExamples,700_discrepancy_obtained,700_NumExamples,800_discrepancy_obtained,800_NumExamples,900_discrepancy_obtained,900_NumExamples,1000_discrepancy_obtained,1000_NumExamples,1100_discrepancy_obtained,1100_NumExamples,1200_discrepancy_obtained,1200_NumExamples,1300_discrepancy_obtained,1300_NumExamples,1400_discrepancy_obtained,1400_NumExamples,1500_discrepancy_obtained,1500_NumExamples,1600_discrepancy_obtained,1600_NumExamples,1700_discrepancy_obtained,1700_NumExamples,1800_discrepancy_obtained,1800_NumExamples,1900_discrepancy_obtained,1900_NumExamples,2000_discrepancy_obtained,2000_NumExamples
0,A,0.8200960400409362,0,0.5747216051212098,4681,0.4011146788100674,7619,0.3322368402668803,9576,0.2944451428669784,11098,0.2514123227400964,12304,0.19743316728395116,14134,0.16663360406204694,15305,0.14663552977415864,16113,0.12892789547250766,16821,0.11430320516863755,17712,0.1040984176085212,18371,0.09219914618577317,19023,0.07603245814752925,19915,0.06901949809959088,20434,0.0614733924086957,21038,0.05680579730708201,21485,0.05127555340946171,21899,0.047131839841248,22319,0.043402279789058314,22709,0.03957937289839168,22966
1,B,0.8200960400409362,0,0.6873444518096118,4681,0.5854836090932348,7619,0.5063615212838872,9576,0.4514873370262434,11098,0.4009617328307734,12304,0.3669285167550807,14134,0.3149920763584592,15305,0.2775021864612399,16113,0.2560581132398722,16821,0.2479491953883568,17712,0.21933120846844487,18371,0.19634788271168574,19023,0.18495353501931705,19915,0.14934168352408816,20434,0.14238100542926746,21038,0.12398630885102678,21485,0.10925538759157738,21899,0.11275197598339252,22319,0.09686184688305016,22709,0.07971461985993453,22966
2,S,0.8200960400409362,0,0.6581981413911283,4681,0.5498191544668276,7619,0.5190195733012521,9576,0.45296609066435395,11098,0.3723337281745279,12304,0.34961880810566126,14134,0.2942847240152062,15305,0.2788251768651598,16113,0.25377358224649266,16821,0.2311681934448251,17712,0.18489669957459676,18371,0.16601340706099757,19023,0.15683770778569012,19915,0.13156568594931978,20434,0.1301493945933691,21038,0.1075162710703938,21485,0.10341445308091482,21899,0.09276741281259505,22319,0.08398662488184445,22709,0.06847583534318895,22966
3,W,0.8200960400409362,0,0.6662517312641484,4681,0.5347027231897261,7619,0.481600827815465,9576,0.4121454413661042,11098,0.3625659556628957,12304,0.30815052897509976,14134,0.28864080577985773,15305,0.2565292554280899,16113,0.22682508851104624,16821,0.202711097292047,17712,0.17265600716232732,18371,0.1613880929199418,19023,0.1326175762481703,19915,0.130849863689348,20434,0.11754901419911715,21038,0.10761056504921523,21485,0.08754768839747443,21899,0.08228618957591906,22319,0.07433181573861622,22709,0.07479236566214682,22966
4,A,0.8200960400409362,0,0.553832848587725,4952,0.4285360460936837,7148,0.3693657681451194,8549,0.3057984260677412,10581,0.26872034229979136,12064,0.22461768297479032,13176,0.20846890806061552,14041,0.1777515366299282,15156,0.14905433608273091,16279,0.12420991588867115,17152,0.1064411560152712,18048,0.0982443287262129,18656,0.08584639700070536,19406,0.0750707272873903,20016,0.06849349382818626,20522,0.06420932706530942,20883,0.059044055323589875,21197,0.05067282627748,21771,0.04605208325024372,22236,0.04304689958054983,22577
5,B,0.8200960400409362,0,0.6363739200689134,4952,0.5817709031227953,7148,0.5268783404482736,8549,0.4636504765839884,10581,0.4025955026801546,12064,0.3930008918967076,13176,0.3354419736958926,14041,0.31329549240063753,15156,0.2672931451066159,16279,0.2455858504332866,17152,0.22275501776002396,18048,0.20691604431962315,18656,0.17413967273070202,19406,0.15577936860283076,20016,0.13702269356474656,20522,0.12858990687514704,20883,0.12919636799174197,21197,0.10674533112145965,21771,0.10294278018982372,22236,0.08713946781872683,22577
6,S,0.8200960400409362,0,0.667884288864212,4952,0.5702731497495838,7148,0.4891112989120908,8549,0.4787928739733554,10581,0.4156102506194531,12064,0.35217265674898485,13176,0.3179406088710045,14041,0.2777003151278151,15156,0.26288717742834106,16279,0.23314313503075426,17152,0.2062333779750802,18048,0.18561423472909527,18656,0.1581494442272582,19406,0.1366055050530318,20016,0.12552996556082752,20522,0.12607603310027224,20883,0.11404939109342349,21197,0.0981885054556952,21771,0.09545251326931008,22236,0.07960544431440854,22577
7,W,0.8200960400409362,0,0.6605369317995171,4952,0.5615284618960578,7148,0.5162863601510137,8549,0.42559273440186407,10581,0.3850107910748701,12064,0.34927163045330134,13176,0.3010439953976373,14041,0.27580422067833865,15156,0.2227019911817754,16279,0.20973402707143726,17152,0.18153562834450254,18048,0.16971186150570386,18656,0.15438998368129161,19406,0.13215689937501604,20016,0.11571594169750457,20522,0.1104551242254354,20883,0.10305708424523084,21197,0.09739160051398796,21771,0.07940298448254918,22236,0.07377047661598787,22577
8,A,0.8200960400409362,0,0.5621873053566706,4754,0.41219399588292555,7709,0.3375854773967043,9552,0.28917613344413223,10824,0.2545577884387267,12307,0.23077237965835404,13265,0.1925636383914924,14496,0.16645891219619,15295,0.1408613739283446,16360,0.11738429530526455,17562,0.10569491580232906,18212,0.09122810727208466,18960,0.08296812500668045,19436,0.07215932527019234,20047,0.0668566362609645,20511,0.06144264803969974,20873,0.05634991489224132,21346,0.05270540181644782,21632,0.04934610446854824,21969,0.04593304679096487,22220
9,B,0.8200960400409362,0,0.6842514422589338,4754,0.5809218963186595,7709,0.5114988559188274,9552,0.4835994070871574,10824,0.39973813070244946,12307,0.36500923129270707,13265,0.32654316139773437,14496,0.28275420918710725,15295,0.2686587224291506,16360,0.2225959638907065,17562,0.2166654975402199,18212,0.2032926214048073,18960,0.16227860985092624,19436,0.1506686464839116,20047,0.15335085648801733,20511,0.13251195404997906,20873,0.12069158034771249,21346,0.10676572741923583,21632,0.09739367960237055,21969,0.09292544412793532,22220
