,Algtype,2_discrepancy_obtained,2_NumExamples,100_discrepancy_obtained,100_NumExamples,200_discrepancy_obtained,200_NumExamples,300_discrepancy_obtained,300_NumExamples,400_discrepancy_obtained,400_NumExamples,500_discrepancy_obtained,500_NumExamples,600_discrepancy_obtained,600_NumExamples,700_discrepancy_obtained,700_NumExamples,800_discrepancy_obtained,800_NumExamples,900_discrepancy_obtained,900_NumExamples,1000_discrepancy_obtained,1000_NumExamples,1100_discrepancy_obtained,1100_NumExamples,1200_discrepancy_obtained,1200_NumExamples,1300_discrepancy_obtained,1300_NumExamples,1400_discrepancy_obtained,1400_NumExamples,1500_discrepancy_obtained,1500_NumExamples,1600_discrepancy_obtained,1600_NumExamples,1700_discrepancy_obtained,1700_NumExamples,1800_discrepancy_obtained,1800_NumExamples,1900_discrepancy_obtained,1900_NumExamples,2000_discrepancy_obtained,2000_NumExamples
0,AWP,0.9441030421305252,0,0.6336522430576157,3778,0.5376911593115028,5275,0.4255122547085631,7643,0.37142850086397095,8760,0.322576895966148,9857,0.2781952807433894,11176,0.2304866387448142,12537,0.20157725145884345,13504,0.17803046016701296,14168,0.1500850944814425,15211,0.13363117424503956,15693,0.11982716045985276,16183,0.1085659766342468,16808,0.09761824998945998,17501,0.08867773567405704,17911,0.07850825514374002,18333,0.07177210632556326,18788,0.0679055623074617,19080,0.06402075779340283,19387,0.062055089931937014,19604
1,EMPIRICAL,0.9441030421305252,0,0.7868786128498654,3778,0.7050285547666094,5275,0.579184593200523,7643,0.5623889269688985,8760,0.4849202747783018,9857,0.4484233370057731,11176,0.4135423630134077,12537,0.3713756533708632,13504,0.3434945485001417,14168,0.2803124488367971,15211,0.2574967812845653,15693,0.2719654575821516,16183,0.2446410590652499,16808,0.2169534038316608,17501,0.19554505987762105,17911,0.18269955696652904,18333,0.16296215216977933,18788,0.1487329861279052,19080,0.1567507255350743,19387,0.14711460316127925,19604
2,UNIFORM,0.9441030421305252,0,0.7890344420985157,3778,0.6548250636621582,5275,0.5896133982510618,7643,0.5687300706744814,8760,0.4691090774540821,9857,0.4301673310222312,11176,0.3821255471572726,12537,0.3372954631011936,13504,0.32154795825665633,14168,0.2706172275751082,15211,0.2348383270849469,15693,0.23395998377954555,16183,0.22433237381215188,16808,0.19722588818700149,17501,0.17437671465189247,17911,0.1624810416902806,18333,0.1524413374582648,18788,0.1431721090066878,19080,0.14837982318450935,19387,0.13298763722346268,19604
3,WEIGHT,0.9441030421305252,0,0.7555273824043925,3778,0.6356623414521233,5275,0.5497905557504177,7643,0.4716274401817458,8760,0.4344937839890176,9857,0.3877430599668751,11176,0.3272077045784051,12537,0.30111972627281675,13504,0.2885601089888775,14168,0.24022523140876664,15211,0.2110865135668446,15693,0.211220557037404,16183,0.1988349210115723,16808,0.17636665193189946,17501,0.1744461613400942,17911,0.14811193064846465,18333,0.1413508119070752,18788,0.11845254052084332,19080,0.11522878093965826,19387,0.11908566861326822,19604
4,AWP,0.9441030421305252,0,0.650738764087885,3334,0.519289601779699,5370,0.4209330399841899,7340,0.3783724223084834,8451,0.3109833700997125,10000,0.26124730690574977,11286,0.22556006985628724,12496,0.18371932682177414,13787,0.1606230909064205,14502,0.14339477655658933,15049,0.12808883959009856,15623,0.11228961160119358,16455,0.10179237562172756,16922,0.08791062859432892,17488,0.08469763285010698,17871,0.07483626530899046,18328,0.07179270366076455,18587,0.06599931908040628,18851,0.060825115586517126,19103,0.05365481776589854,19564
5,EMPIRICAL,0.9441030421305252,0,0.8078175208094887,3334,0.7016161432856322,5370,0.6176404647196122,7340,0.5665230836476105,8451,0.5323603699364786,10000,0.4254475335507156,11286,0.3936478767762747,12496,0.3193599867858189,13787,0.3013122779735781,14502,0.29723353592759755,15049,0.2764845788938078,15623,0.24764164536974564,16455,0.22941373041086105,16922,0.2099023744886984,17488,0.20282537993763544,17871,0.1715765024239908,18328,0.16243246738689818,18587,0.15631731862756884,18851,0.1588400987396294,19103,0.1386159257361646,19564
6,UNIFORM,0.9441030421305252,0,0.7676360640914124,3334,0.6596322010280439,5370,0.6256742867089816,7340,0.5527286654244878,8451,0.4862525295158945,10000,0.4484551196924492,11286,0.35706326942426403,12496,0.3257121545962393,13787,0.2988917848003513,14502,0.302696949674578,15049,0.26277122977662765,15623,0.2267045691416197,16455,0.2191512761402726,16922,0.19378096895469016,17488,0.19631033178777146,17871,0.17005648757120045,18328,0.17839692107994826,18587,0.16132355239387766,18851,0.1475985463768408,19103,0.13810271175998226,19564
7,WEIGHT,0.9441030421305252,0,0.7585552174388522,3334,0.6565919645002869,5370,0.538863035458428,7340,0.4894283584867586,8451,0.4257632446992768,10000,0.3749647599359493,11286,0.329494391634586,12496,0.3002331475947514,13787,0.2656942837079244,14502,0.2587665711346516,15049,0.22183033639202532,15623,0.2052912622586384,16455,0.18336458605365952,16922,0.1782706718550831,17488,0.16039582823083465,17871,0.14735932108918012,18328,0.14073894921577634,18587,0.13143592094976028,18851,0.12906839303804532,19103,0.10335368679985718,19564
8,AWP,0.9441030421305252,0,0.6469292452466696,3805,0.5146944589682558,5660,0.4267353135228896,7209,0.34946162724128244,8993,0.3144433991583958,10059,0.240587939931182,11747,0.2103654445608284,12882,0.1927274235041866,13445,0.175627346076963,14037,0.15385650620358962,14862,0.13983556479926015,15427,0.12341819954933425,15917,0.11093121424211452,16547,0.10281276656355354,17001,0.09107859327908402,17569,0.07900152080528765,18072,0.07196057393720122,18411,0.06527066629095328,18855,0.06102075079155472,19088,0.0555833042222429,19542
9,EMPIRICAL,0.9441030421305252,0,0.7910627372119773,3805,0.6805211882947122,5660,0.6316015808086427,7209,0.5717060520730078,8993,0.4615171008984642,10059,0.4488414309593646,11747,0.3692444030443984,12882,0.3620567455798799,13445,0.3206964132454909,14037,0.32578116375361155,14862,0.2921521912888151,15427,0.2647073399163392,15917,0.2232198595914492,16547,0.2265688209662668,17001,0.20716989617056825,17569,0.18962869002054625,18072,0.1857768773289851,18411,0.15263033892998445,18855,0.15972392672591096,19088,0.16355420200491266,19542
