,Algtype,2_discrepancy_obtained,2_NumExamples,100_discrepancy_obtained,100_NumExamples,200_discrepancy_obtained,200_NumExamples,300_discrepancy_obtained,300_NumExamples,400_discrepancy_obtained,400_NumExamples,500_discrepancy_obtained,500_NumExamples,600_discrepancy_obtained,600_NumExamples,700_discrepancy_obtained,700_NumExamples,800_discrepancy_obtained,800_NumExamples,900_discrepancy_obtained,900_NumExamples,1000_discrepancy_obtained,1000_NumExamples,1100_discrepancy_obtained,1100_NumExamples,1200_discrepancy_obtained,1200_NumExamples,1300_discrepancy_obtained,1300_NumExamples,1400_discrepancy_obtained,1400_NumExamples,1500_discrepancy_obtained,1500_NumExamples,1600_discrepancy_obtained,1600_NumExamples,1700_discrepancy_obtained,1700_NumExamples,1800_discrepancy_obtained,1800_NumExamples,1900_discrepancy_obtained,1900_NumExamples,2000_discrepancy_obtained,2000_NumExamples
0,AWP,0.965022534453714,0,0.4813319181496789,4168,0.3691710228356224,5594,0.25880694119773523,7090,0.21061628395620802,7953,0.181586191632503,8865,0.15317505408355614,9496,0.13301225332536215,10056,0.11605070132507828,10531,0.10229920745079862,10973,0.08936199384166835,11557,0.07751082992929532,12031,0.05763159420786214,12677,0.05011425658142725,13017,0.04720022021569043,13207,0.042218224639699424,13687,0.033490898270122665,14380,0.032195879874346134,14491,0.03105610550195468,14575,0.02995447083399425,14822,0.02752684348203332,14971
1,EMPIRICAL,0.965022534453714,0,0.783568439579814,4168,0.7451495062641544,5594,0.6352627461805994,7090,0.5864008062736943,7953,0.5350323959804045,8865,0.5046576372066073,9496,0.47011997071244704,10056,0.43404234281512666,10531,0.4107315310531597,10973,0.36930370638380894,11557,0.3425545796479437,12031,0.32775716368700164,12677,0.3185620191338185,13017,0.3128911322235775,13207,0.2781961020547766,13687,0.24164931194652586,14380,0.21959021407754656,14491,0.2497180413678173,14575,0.2396042503661525,14822,0.19729704325961087,14971
2,UNIFORM,0.965022534453714,0,0.8081026786763362,4168,0.6914426153247627,5594,0.6172397415380997,7090,0.5747170623693031,7953,0.4967478803212186,8865,0.4418966436618161,9496,0.4155911254929127,10056,0.3975363972669063,10531,0.4032091178954392,10973,0.3435439439768523,11557,0.32983996000390353,12031,0.2937123030148106,12677,0.2866046651703189,13017,0.2730633101535463,13207,0.2312555072328469,13687,0.20471624531282612,14380,0.16136557784148686,14491,0.1831759795439692,14575,0.19220807117267089,14822,0.17640820347353425,14971
3,WEIGHT,0.965022534453714,0,0.7830007577751501,4168,0.6781048250837302,5594,0.5543691371012262,7090,0.5135535479435197,7953,0.4575334785943661,8865,0.4035902853349952,9496,0.3516773835600294,10056,0.3330789910191861,10531,0.31377813220060546,10973,0.2779595611771527,11557,0.26155844703718995,12031,0.23037925086999456,12677,0.2145228766126832,13017,0.186722878100517,13207,0.1872447884705685,13687,0.15405645569125148,14380,0.13903746398154024,14491,0.11741534173300724,14575,0.11628367977694486,14822,0.11549423820680395,14971
4,AWP,0.965022534453714,0,0.5117328294654986,4129,0.3949826178037793,5564,0.2824715946819664,6967,0.2316350946394209,7875,0.19878511298308724,8830,0.16537072814856502,9649,0.154710280970034,10026,0.12964186067393374,10686,0.11390894020606501,11296,0.10635782004569858,11770,0.07263387410903689,12402,0.06719232926252107,12848,0.06335128596792339,13019,0.05785069173664927,13282,0.0525088927887132,13970,0.04842360671825404,14342,0.04647899378736502,14426,0.0423292430576712,14667,0.03918280161962562,14901,0.03495718044950564,15200
5,EMPIRICAL,0.965022534453714,0,0.7933225416458604,4129,0.6844975213627663,5564,0.6440770708608696,6967,0.6203106159423388,7875,0.5642795054362714,8830,0.5123347826977313,9649,0.4620070649774972,10026,0.4452204595229359,10686,0.41223133587759947,11296,0.3727386698099408,11770,0.3711943247428355,12402,0.32959947905205506,12848,0.3115756942548009,13019,0.27474928621040123,13282,0.2494382648898932,13970,0.2117995421250175,14342,0.2176554891022822,14426,0.2454318568710709,14667,0.2015278406985236,14901,0.1676854606429429,15200
6,UNIFORM,0.965022534453714,0,0.7694534605890401,4129,0.7002150478497701,5564,0.5785250971045361,6967,0.5529091859512384,7875,0.5127914155842898,8830,0.4791532852889378,9649,0.4102204258853121,10026,0.3871007176014262,10686,0.35451395188661905,11296,0.27876580658445715,11770,0.3116838865760616,12402,0.25118049464265,12848,0.2974266642072385,13019,0.2788860589744297,13282,0.22982013271523624,13970,0.20331895695548108,14342,0.2300371597505201,14426,0.19771098400832754,14667,0.2005720572533767,14901,0.1580932195876494,15200
7,WEIGHT,0.965022534453714,0,0.7790159021747625,4129,0.6393993852630327,5564,0.5524704990560024,6967,0.5534015468931311,7875,0.4195228419668893,8830,0.43060065282877547,9649,0.3605954491759839,10026,0.3362664633709337,10686,0.2712102837368378,11296,0.25818469452827586,11770,0.2323951825107709,12402,0.19938785276638266,12848,0.21639393568232546,13019,0.18690804259808,13282,0.176608166533227,13970,0.14793656143905035,14342,0.15168205865762166,14426,0.13320593953844911,14667,0.1124035900227324,14901,0.1180386079470153,15200
8,AWP,0.965022534453714,0,0.5547049333896489,3794,0.3847590912533831,5399,0.2647192118739353,6895,0.21466820409665974,8010,0.19400839895380886,8761,0.17404962608043928,9434,0.13054154404718116,10353,0.12048268101502595,10699,0.10474891495549853,11402,0.09890038841249968,11621,0.07509154252905748,12728,0.07108414808132497,12958,0.06745634687465006,13221,0.05587389838788403,14009,0.05378716297329005,14353,0.05289095199863693,14447,0.04938145752044462,14621,0.047128610186949416,14893,0.03997786748367728,15331,0.024338061465721057,16304
9,EMPIRICAL,0.965022534453714,0,0.7950177212345888,3794,0.7128119243625911,5399,0.6295527715004671,6895,0.534831730571492,8010,0.5452944769970192,8761,0.4771162398509388,9434,0.471215395439803,10353,0.4356309556106043,10699,0.4022581307421769,11402,0.3486316870467037,11621,0.3551889042056733,12728,0.29728257561632765,12958,0.28384285965927003,13221,0.2680839528289141,14009,0.2628675823329962,14353,0.2411668788692161,14447,0.23190345680700994,14621,0.2058466478619302,14893,0.1909301827253067,15331,0.18048065823628714,16304
