,Algtype,2_discrepancy_obtained,2_NumExamples,5_discrepancy_obtained,5_NumExamples,10_discrepancy_obtained,10_NumExamples,15_discrepancy_obtained,15_NumExamples,20_discrepancy_obtained,20_NumExamples,25_discrepancy_obtained,25_NumExamples,30_discrepancy_obtained,30_NumExamples,35_discrepancy_obtained,35_NumExamples,40_discrepancy_obtained,40_NumExamples,45_discrepancy_obtained,45_NumExamples,50_discrepancy_obtained,50_NumExamples,55_discrepancy_obtained,55_NumExamples,60_discrepancy_obtained,60_NumExamples,65_discrepancy_obtained,65_NumExamples,70_discrepancy_obtained,70_NumExamples,75_discrepancy_obtained,75_NumExamples,80_discrepancy_obtained,80_NumExamples,85_discrepancy_obtained,85_NumExamples,90_discrepancy_obtained,90_NumExamples,95_discrepancy_obtained,95_NumExamples,100_discrepancy_obtained,100_NumExamples
0,AWP,0.4799486846066122,0,0.19704476279905608,1058,0.13365086045907534,3836,0.10300706324391698,6300,0.08474494626132406,7982,0.07046256224176804,8952,0.05861858928876248,9922,0.048148736857888536,11301,0.040660824975520905,12289,0.03460028164816966,12955,0.027787974865355475,13994,0.025106560504011062,14637,0.02258155499652637,15044,0.02124764438332428,15448,0.01780086717597901,16516,0.015947399757819333,17337,0.014841178792696544,17909,0.014044910377695093,18208,0.013816839760401392,18353,0.01297967351950873,19151,0.012656056800887005,19380
1,EMPIRICAL,0.4799486846066122,0,0.20519238183464025,1058,0.1586048012941325,3836,0.13374215651315974,6300,0.12028861026425205,7982,0.11460062355159953,8952,0.10445870309655396,9922,0.09307598799855164,11301,0.08853633953898095,12289,0.08661082686799815,12955,0.07793342127756862,13994,0.07437933995435653,14637,0.06996529628986876,15044,0.06906307219594808,15448,0.06290946004984195,16516,0.0576619721934593,17337,0.05472359147615664,17909,0.05478843036079415,18208,0.0533462307964988,18353,0.04894803931519614,19151,0.048389543661292216,19380
2,UNIFORM,0.4799486846066122,0,0.2053272892039218,1058,0.15847092604885224,3836,0.1326504238081798,6300,0.12210003729722364,7982,0.11268838098715778,8952,0.1042690482341397,9922,0.09455696915827982,11301,0.0902124996072906,12289,0.08592409195410854,12955,0.07819531221860837,13994,0.07453109873821143,14637,0.07334094133275634,15044,0.06819861132440767,15448,0.06357792226453116,16516,0.058783182848369725,17337,0.05547285421774382,17909,0.053605295964405685,18208,0.05244193900425258,18353,0.05078553887713082,19151,0.04906739758533627,19380
3,WEIGHT,0.4799486846066122,0,0.2054160997556014,1058,0.16218600195237226,3836,0.14472117621730385,6300,0.1311852700366365,7982,0.11998003928152524,8952,0.10804352788173684,9922,0.09991535174373342,11301,0.0942086826629036,12289,0.08986661038207139,12955,0.08560122086852898,13994,0.07972837538303744,14637,0.07802442350731721,15044,0.0732554829326736,15448,0.06806036170313243,16516,0.06357628587621975,17337,0.05660153504257472,17909,0.055593189768888863,18208,0.05509012799262672,18353,0.05123893043068265,19151,0.04985688985872568,19380
4,AWP,0.4799486846066122,0,0.19833847498143484,967,0.13786410170704694,3605,0.1013691400168223,6445,0.08280195234669198,8124,0.06963167067412708,9013,0.05514204926661834,10152,0.0481525421525995,11170,0.04055816160259525,12199,0.033616671712675225,13018,0.0269030048374374,14128,0.02392336860033937,14796,0.021881225527911927,15087,0.019399916088667826,16183,0.017516263653381558,16933,0.016778930994280666,17208,0.015354608805119206,17829,0.0144593068740712,18241,0.01366162690711789,18748,0.012860227846191364,19314,0.012678474380286258,19401
5,EMPIRICAL,0.4799486846066122,0,0.20539602211321054,967,0.16042972859213125,3605,0.1325531888170234,6445,0.12245518438823295,8124,0.11244645828220984,9013,0.10403817421615233,10152,0.09512843253451632,11170,0.08911965027940551,12199,0.08626546018625389,13018,0.0786462525245183,14128,0.07464391512156818,14796,0.0723352350185168,15087,0.06443909312985789,16183,0.0619197293532127,16933,0.06002403323613194,17208,0.057100679929820174,17829,0.05495955478780905,18241,0.05115090890272269,18748,0.04789579135283359,19314,0.04814523567067066,19401
6,UNIFORM,0.4799486846066122,0,0.20569960485644648,967,0.1591005250814544,3605,0.1336222371994729,6445,0.1221033597162988,8124,0.10976009095163816,9013,0.10207739922402316,10152,0.09553780488925802,11170,0.08826844755124852,12199,0.08458336442780967,13018,0.07766822210604363,14128,0.07349394713737767,14796,0.07300351499902406,15087,0.0664287348696317,16183,0.060591830070697676,16933,0.0601266665059067,17208,0.05549541450289598,17829,0.05290580199820287,18241,0.05171642662868599,18748,0.04870882415183324,19314,0.04755450710894102,19401
7,WEIGHT,0.4799486846066122,0,0.20602788716684373,967,0.166382556452618,3605,0.14395950272556826,6445,0.1299815319059892,8124,0.1176788119329478,9013,0.10754540542541056,10152,0.09928667311254094,11170,0.09522745265760944,12199,0.09011463191820268,13018,0.08372767262704123,14128,0.08099704918828743,14796,0.07653900682643483,15087,0.07086461040379012,16183,0.06603453497851867,16933,0.06361987671534758,17208,0.0597587608150257,17829,0.055332995911444,18241,0.052317033813491017,18748,0.05161946116113904,19314,0.04999832344393428,19401
8,AWP,0.4799486846066122,0,0.19807207325588425,948,0.14154635820933034,3339,0.10537374793011664,6091,0.086493051689472,7912,0.07148978288679099,8937,0.05382730927949922,10494,0.04753879803368702,11380,0.03970290756686079,12384,0.03390571330375821,13022,0.028451919024300613,13885,0.02519238835057729,14321,0.0212023376301871,15278,0.018663551432397125,16292,0.0170477997438908,16901,0.015622903928983325,17521,0.01461792708123616,18079,0.014043699803733814,18326,0.012796419338425244,18863,0.012259373522289122,19349,0.01174696512071258,19524
9,EMPIRICAL,0.4799486846066122,0,0.20506877674752905,948,0.16192729621307975,3339,0.1347599384526846,6091,0.12246513544883,7912,0.11290508517534012,8937,0.10095165482233198,10494,0.09327728756531156,11380,0.08663618018222613,12384,0.08538310286905662,13022,0.07847867085844096,13885,0.07675911296296163,14321,0.06958288332192886,15278,0.06331239817014624,16292,0.06079824247085674,16901,0.05824336628883541,17521,0.05510447125732498,18079,0.0536635863761445,18326,0.0497717151049681,18863,0.0483009555400003,19349,0.04690104629306468,19524
