,Algtype,2_discrepancy_obtained,2_NumExamples,20_discrepancy_obtained,20_NumExamples,40_discrepancy_obtained,40_NumExamples,60_discrepancy_obtained,60_NumExamples,80_discrepancy_obtained,80_NumExamples,100_discrepancy_obtained,100_NumExamples,120_discrepancy_obtained,120_NumExamples,140_discrepancy_obtained,140_NumExamples,160_discrepancy_obtained,160_NumExamples,180_discrepancy_obtained,180_NumExamples,200_discrepancy_obtained,200_NumExamples,220_discrepancy_obtained,220_NumExamples,240_discrepancy_obtained,240_NumExamples,260_discrepancy_obtained,260_NumExamples,280_discrepancy_obtained,280_NumExamples,300_discrepancy_obtained,300_NumExamples,320_discrepancy_obtained,320_NumExamples,340_discrepancy_obtained,340_NumExamples,360_discrepancy_obtained,360_NumExamples,380_discrepancy_obtained,380_NumExamples,400_discrepancy_obtained,400_NumExamples
0,AWP,0.7408918245620651,0,0.6589581666126116,1512,0.6064453713776661,3239,0.5680671657042585,4723,0.5231167956358082,6403,0.4912244206493826,7702,0.4541119301583184,9041,0.4259784190756401,10180,0.3981281416728881,11339,0.3681462706575691,12515,0.3430987017509632,13449,0.3196350489407697,14458,0.3019149278300686,15247,0.2850027867754025,15866,0.265586213879116,16609,0.2433102471074737,17506,0.2248107947384444,18337,0.20917238805533253,19025,0.1954296745764843,19584,0.1819025901056429,20174,0.17135678618620692,20706
1,EMPIRICAL,0.7408918245620651,0,0.6577249970141757,1512,0.6138253346416984,3239,0.5812125171736462,4723,0.5372530988159364,6403,0.5041856245619275,7702,0.4751825002978167,9041,0.44487644415402144,10180,0.4157335762868893,11339,0.3828332223468351,12515,0.3679921141535848,13449,0.34245037741158346,14458,0.32537677343422244,15247,0.3010924848977528,15866,0.2871147379936597,16609,0.268844421350517,17506,0.2479705773530019,18337,0.23390379568776115,19025,0.22124099036511585,19584,0.20462094009088552,20174,0.19347926751857286,20706
2,UNIFORM,0.7408918245620651,0,0.6587692713770092,1512,0.6170635048049324,3239,0.5757934036110891,4723,0.5350761388499671,6403,0.4992262094231103,7702,0.4725192548813203,9041,0.4500052424870081,10180,0.4189154480220775,11339,0.3888734335877072,12515,0.36222025308830413,13449,0.3368880299403909,14458,0.3224563377909038,15247,0.3013043204655548,15866,0.2942404901929365,16609,0.2642312403986329,17506,0.2449454480968706,18337,0.22454738347929348,19025,0.21999157434143465,19584,0.2028233725899952,20174,0.19284791551682345,20706
3,WEIGHT,0.7408918245620651,0,0.6581923022748574,1512,0.6122873202207746,3239,0.5765841995983507,4723,0.5324035253524168,6403,0.5009610137727025,7702,0.4703273202000388,9041,0.43707009469576336,10180,0.4096339330652477,11339,0.3934721733388639,12515,0.3597168214084461,13449,0.3409153607461306,14458,0.31470268624746955,15247,0.3011674273360281,15866,0.2820262904674346,16609,0.26782438288715577,17506,0.2468588843768305,18337,0.2333403223285735,19025,0.22209674413260128,19584,0.20128984320250806,20174,0.1904899012489013,20706
4,AWP,0.7408918245620651,0,0.6607464414084052,1481,0.6179354090290821,3060,0.5693381607521163,4724,0.5197208895028101,6553,0.4930229784671262,7628,0.4571327539313238,9063,0.4243158547215564,10346,0.3869567914817863,11759,0.3624820753205341,12772,0.3398783156371968,13715,0.3235228447159746,14445,0.3011590178070829,15232,0.277592029875954,16195,0.2582542703055038,16883,0.24011768249837145,17664,0.2178057537366638,18575,0.2001116879845558,19254,0.1926567028878408,19643,0.17954981502053854,20144,0.164484371225725,20682
5,EMPIRICAL,0.7408918245620651,0,0.6601205296094913,1481,0.6153267649268168,3060,0.5807070317725387,4724,0.5384368441006598,6553,0.5119657469288117,7628,0.4694519843958252,9063,0.4410483596892004,10346,0.3957889060419766,11759,0.3766072273895964,12772,0.3575971629071972,13715,0.3460635425741744,14445,0.3198212503227721,15232,0.2943933258723673,16195,0.2761653592665104,16883,0.2674264985327533,17664,0.24415397317006404,18575,0.2251903257360507,19254,0.2200681586170656,19643,0.2051712529195655,20144,0.1923850381924436,20682
6,UNIFORM,0.7408918245620651,0,0.6611660148162939,1481,0.6164109522450797,3060,0.573265092429213,4724,0.5311832662264676,6553,0.4997223465357525,7628,0.4648795971295026,9063,0.4330607708175253,10346,0.4072217514678926,11759,0.3842959007023694,12772,0.35865841369689805,13715,0.3407999791655902,14445,0.3197297134282033,15232,0.2932271664774853,16195,0.2847623875685254,16883,0.2570772194217621,17664,0.244794468836672,18575,0.2302178664506905,19254,0.22259982556227825,19643,0.208678928154382,20144,0.18569832435017292,20682
7,WEIGHT,0.7408918245620651,0,0.6609346487955482,1481,0.6181131977838723,3060,0.5833038067115844,4724,0.5289952002962565,6553,0.5020276815371182,7628,0.46600880581992604,9063,0.4364861105659011,10346,0.4033436546593009,11759,0.38582946406983065,12772,0.3522533840896353,13715,0.33291020814979705,14445,0.31786894940726984,15232,0.2959816299458208,16195,0.2793957476817012,16883,0.2617702633617989,17664,0.2396438977260494,18575,0.2232477700551598,19254,0.2190929320397672,19643,0.20974427353687405,20144,0.19686494072712216,20682
8,AWP,0.7408918245620651,0,0.6632112740672609,1342,0.6171288329727114,3132,0.570102637641886,4776,0.5255838874623563,6500,0.4966129033898125,7814,0.4660063771174556,8886,0.4354386160674949,10150,0.4067440978049894,11281,0.3784267972780608,12411,0.3508468988145021,13484,0.3286889571741574,14444,0.30764408558216033,15364,0.2894305459329873,16132,0.27330046979570244,16767,0.25621418040110683,17521,0.2355305068646137,18279,0.21857188888892165,18969,0.20475852654804133,19574,0.19169351053650674,20023,0.17703320305913794,20554
9,EMPIRICAL,0.7408918245620651,0,0.6633763509606619,1342,0.6210471895388758,3132,0.5733668328006468,4776,0.5287961829233568,6500,0.505939425590401,7814,0.4758135418878286,8886,0.44211748532602096,10150,0.4184275946955818,11281,0.38619095369341455,12411,0.3703787701820587,13484,0.3473420290119681,14444,0.3180430500219953,15364,0.2962726087916899,16132,0.2897965670267419,16767,0.2668599666496827,17521,0.2546920989025568,18279,0.2372846551874033,18969,0.2205170048842027,19574,0.2104615911701924,20023,0.19801111246702674,20554
10,UNIFORM,0.7408918245620651,0,0.6649836170034708,1342,0.6186397461129864,3132,0.5748899790361616,4776,0.5313222268624648,6500,0.49676268440316496,7814,0.4753958124724698,8886,0.4435514502530698,10150,0.4119193057475836,11281,0.3939769466412289,12411,0.3650332469920704,13484,0.34773783632418553,14444,0.3189690678918485,15364,0.2983300042481275,16132,0.2876016449055927,16767,0.2569097600550161,17521,0.24209059372586544,18279,0.2324653554462338,18969,0.22355074402625952,19574,0.20671316016642768,20023,0.1964967977509849,20554
11,WEIGHT,0.7408918245620651,0,0.6636875743601337,1342,0.6178186814366603,3132,0.5709490884018872,4776,0.5305523207646,6500,0.5039992978511068,7814,0.4741215619440533,8886,0.4470325090147155,10150,0.40998543310407454,11281,0.3842192285013627,12411,0.3628543055390328,13484,0.3325853080660053,14444,0.3142320744056955,15364,0.293581786543255,16132,0.2785272560018809,16767,0.2616844944857624,17521,0.2478916672918765,18279,0.2313136354391163,18969,0.217682166386024,19574,0.2081199161805965,20023,0.2001738131993686,20554
12,AWP,0.7408918245620651,0,0.6591340821898256,1563,0.6152568033827028,3126,0.5714645426625902,4696,0.5253152744001681,6394,0.4877016275129338,7789,0.4568302215082628,8972,0.4353276330676727,9942,0.3965054251981157,11504,0.37039054294316215,12617,0.3402836626749798,13724,0.3185772677132156,14656,0.302705963509759,15326,0.28041521027955985,16171,0.2655942810919449,16831,0.24147710792823185,17777,0.22428034266437533,18558,0.21264461600941406,19121,0.19806935288874086,19670,0.1845336531131928,20166,0.1722652431992742,20588
13,EMPIRICAL,0.7408918245620651,0,0.6581029621101974,1563,0.6194097104080104,3126,0.5854753278255007,4696,0.5425520829733111,6394,0.4947908882133021,7789,0.4732459754764848,8972,0.4479285518048223,9942,0.4121031460874041,11504,0.3864750599691225,12617,0.35835547442298754,13724,0.33700518993182843,14656,0.3215180061673083,15326,0.29775256033667585,16171,0.2801280935143971,16831,0.26691819243423986,17777,0.24392159607877115,18558,0.2334393878354123,19121,0.2154171195865116,19670,0.2066897960811439,20166,0.1942614958387728,20588
