,Algtype,2_discrepancy_obtained,2_NumExamples,3_discrepancy_obtained,3_NumExamples,6_discrepancy_obtained,6_NumExamples,9_discrepancy_obtained,9_NumExamples,12_discrepancy_obtained,12_NumExamples,15_discrepancy_obtained,15_NumExamples,18_discrepancy_obtained,18_NumExamples,21_discrepancy_obtained,21_NumExamples,24_discrepancy_obtained,24_NumExamples,27_discrepancy_obtained,27_NumExamples,30_discrepancy_obtained,30_NumExamples,33_discrepancy_obtained,33_NumExamples,36_discrepancy_obtained,36_NumExamples,39_discrepancy_obtained,39_NumExamples,42_discrepancy_obtained,42_NumExamples,45_discrepancy_obtained,45_NumExamples,48_discrepancy_obtained,48_NumExamples,51_discrepancy_obtained,51_NumExamples,54_discrepancy_obtained,54_NumExamples,57_discrepancy_obtained,57_NumExamples,60_discrepancy_obtained,60_NumExamples
0,AWP,0.6681434749763042,0,0.5363436479281639,79,0.4332762602337433,663,0.3642762838418676,977,0.25686710079789743,1815,0.21075195739871336,2567,0.1826466007618044,3270,0.14167600124817506,3737,0.10609117987603058,4886,0.09524127034485942,5234,0.08962112741688545,5869,0.0739173956174161,8586,0.057714739355214525,10672,0.0551598379009564,11136,0.05343549221149794,11450,0.0508012224427901,12192,0.04920259293937339,12534,0.04698776006778413,13042,0.04441383580505541,13911,0.04314509228604982,14733,0.042191544632263496,15504
1,EMPIRICAL,0.6681434749763042,0,0.5375802359791807,79,0.43888573908268697,663,0.3734146222183452,977,0.2803732720691404,1815,0.2615733848366646,2567,0.21620776939085595,3270,0.18447629993821613,3737,0.1632604910760546,4886,0.1155368974321761,5234,0.11268742423100653,5869,0.10197194365515136,8586,0.09611387137249776,10672,0.08857030950989547,11136,0.08295298749913578,11450,0.08050466621405658,12192,0.08040766439750831,12534,0.07719271543830213,13042,0.07420563773647741,13911,0.0717002050590921,14733,0.06944502912874216,15504
2,UNIFORM,0.6681434749763042,0,0.5378514976399728,79,0.4383017054398696,663,0.371919981993364,977,0.28070044189733984,1815,0.26090169883967645,2567,0.2271380768507037,3270,0.18440627642980595,3737,0.13289387933396413,4886,0.11514456976803394,5234,0.12676999112569748,5869,0.09958729639273346,8586,0.09266096810845348,10672,0.08534695519629593,11136,0.08877493152328847,11450,0.08040407755429442,12192,0.08027229294628863,12534,0.0742288802700024,13042,0.07575682095273524,13911,0.07364445806952273,14733,0.07352928630777919,15504
3,WEIGHT,0.6681434749763042,0,0.5375068845310472,79,0.4405630463362156,663,0.4268004366509256,977,0.27974272283350105,1815,0.27393468495475776,2567,0.2498074587556319,3270,0.2199966085782874,3737,0.2128447314764433,4886,0.19969159978609552,5234,0.1795154541111648,5869,0.15922043541192604,8586,0.11766759609034992,10672,0.10262005383873823,11136,0.099294916249832,11450,0.09976090996674188,12192,0.0989528378045902,12534,0.09650603998426956,13042,0.09344356550977433,13911,0.09059907807055803,14733,0.08756203164339042,15504
4,AWP,0.6681434749763042,0,0.5368012070839907,75,0.4337892127671222,514,0.3633113251963279,957,0.2524753404651999,1986,0.21793612953958424,2849,0.17277865806664064,3319,0.1388120331086395,3878,0.10269718442358468,5090,0.0929856558562629,5484,0.08717966074681166,6315,0.0728846535640959,9353,0.05880839915092255,10755,0.05509351089417265,11169,0.053721705339203535,11517,0.0520450668382124,11867,0.04966399060158048,12481,0.04857521824957182,12692,0.04684822485397518,13580,0.045722766254488616,14070,0.04484865851159581,14563
5,EMPIRICAL,0.6681434749763042,0,0.5376615541557285,75,0.4387491190293197,514,0.3742114950253126,957,0.279942701340072,1986,0.2617287021658322,2849,0.2164148119084778,3319,0.18234226163371012,3878,0.13261283665070356,5090,0.1144981023367016,5484,0.11074716381131476,6315,0.0989969053884308,9353,0.09476321100053384,10755,0.0872685833130777,11169,0.08172007409865573,11517,0.08122337338550227,11867,0.07922395124682984,12481,0.07840570772100501,12692,0.0760801843567789,13580,0.07269470102049412,14070,0.06962063498402964,14563
6,UNIFORM,0.6681434749763042,0,0.5377330444277912,75,0.4397801250034593,514,0.3743080627919477,957,0.2801082597353128,1986,0.2595925242360592,2849,0.2185395154049381,3319,0.1825301009249284,3878,0.13411138574268142,5090,0.11342807028291185,5484,0.11071872711670402,6315,0.09834662460799272,9353,0.09592771615178892,10755,0.0871011705874909,11169,0.08382132832398813,11517,0.08023444238376012,11867,0.08105734331629301,12481,0.07544389764184223,12692,0.07327584051238932,13580,0.07140303160815653,14070,0.0724141881319741,14563
7,WEIGHT,0.6681434749763042,0,0.5376712685429046,75,0.4417067074710614,514,0.42611563026401095,957,0.2788052229763172,1986,0.2719816922601129,2849,0.2465923480707542,3319,0.21781056191803472,3878,0.2107761425082482,5090,0.1966973692113017,5484,0.17785133292198846,6315,0.15486794032277082,9353,0.11711406747979447,10755,0.10112872527655767,11169,0.1015261818730688,11517,0.09879126300698092,11867,0.09544625737311624,12481,0.09712565901870762,12692,0.09464800222594336,13580,0.09345833053622284,14070,0.08752479013663976,14563
8,AWP,0.6681434749763042,0,0.5376854605574884,40,0.4334370183220664,527,0.3564434857575709,1232,0.2544176244322509,1779,0.22227666417583053,2590,0.17397677518555124,3304,0.14098179714488826,3664,0.1061383820074579,4518,0.09722723710963574,4975,0.09209471937901502,5547,0.07215371400408734,9577,0.0591600758070994,10743,0.05636710841250996,11088,0.054226860568253835,11603,0.05212117896884231,11955,0.04978357898471481,12151,0.04808595467466244,12579,0.04694570652648232,13270,0.045027609520373726,14208,0.04401591087011264,15345
9,EMPIRICAL,0.6681434749763042,0,0.5379588938479555,40,0.4380050447356669,527,0.37226836159463067,1232,0.2792185448618661,1779,0.2609904673071963,2590,0.2284049838182217,3304,0.18528460811040684,3664,0.15039349666882235,4518,0.13161582618413112,4975,0.11289663927431362,5547,0.10046113104782738,9577,0.09131308065585857,10743,0.08877957625303261,11088,0.08315057083147838,11603,0.08072543312367687,11955,0.0810352453036273,12151,0.07742772936348939,12579,0.07543682408896676,13270,0.07504408728200819,14208,0.06943200885460755,15345
