,1,2,3,4
1,24363,27989,0,2
2,15306,15315,0,2
3,9523,9674,0,2
4,2798,2886,0,2
5,24145,24177,0,2
6,24127,24147,0,2
7,24162,24223,0,2
8,4959,4960,0,2
9,24139,24155,0,2
10,24137,24153,0,2
11,15921,19818,0,2
12,25531,25585,0,2
13,25088,25179,0,2
14,5517,5536,0,2
15,24129,24148,0,2
16,24182,29794,0,3
17,21215,21221,0,2
18,9520,9671,9.486832981,2
19,21480,21489,12.16552506,2
20,9522,9673,14.35270009,2
21,9531,9690,22.06807649,2
22,9536,9698,29.01723626,2
23,14239,14334,65.09224224,2
24,25534,25559,67.15653356,2
25,5312,5392,68.24221567,2
26,14211,14306,70.37044834,2
27,14258,14353,70.69653457,2
28,14224,14319,72.4844811,2
29,14248,14343,73.60706488,2
30,14217,14312,74.10802925,2
31,14237,14332,75.13986958,2
32,14192,14287,75.42545989,2
33,14189,14284,77.40800992,2
34,14259,14354,78.19846546,2
35,14204,14299,78.94301742,2
36,14198,14293,80.04373804,2
37,14274,14369,80.50465825,2
38,14243,14338,80.82697569,2
39,14210,14305,81.44323176,2
40,14228,14323,81.84741902,2
41,14235,14330,83.13843876,2
42,14216,14311,86.3539229,2
43,14250,14345,89.23003978,2
44,14207,14302,90.60905032,2
45,14215,14310,91.55326319,2
46,14251,14346,93.08061023,2
47,14247,14342,96.84523736,2
48,14233,14328,99.02524931,2
49,14241,14336,100.4639239,2
50,14265,14360,101.0049504,2
51,14280,14375,102.1273715,2
52,14276,14371,103.1067408,2
53,14221,14316,103.1746093,2
54,14222,14317,104.6613587,2
55,14269,14364,105.2853266,2
56,14200,14295,108.1249277,2
57,14249,14344,108.6830254,2
58,14270,14365,109.402925,2
59,14236,14331,110.1362792,2
60,14275,14370,110.154437,2
61,25515,25518,114.8216008,2
62,14254,14349,116.447413,2
63,14281,14376,118.8023569,2
64,14257,14352,120.008333,2
65,14271,14366,128.681778,2
66,14268,14363,130.8204877,2
67,9528,9681,141.7674152,2
68,14279,14374,141.9859148,2
69,14255,14350,160.9503029,2
70,26043,26062,190.8874014,2
71,9558,9668,210.7059563,2
72,14263,14358,219.4356398,2
73,14253,14348,232.7208628,2
74,23365,23378,242.6004946,2
75,26018,26080,272.901081,2
76,19455,19557,285.5941176,2
77,5516,5535,394.9164469,2
78,25955,26070,424.7352116,2
79,15246,15337,450.8314541,2
80,25981,26061,456.3649855,2
81,5061,5089,583.3960919,2
82,26037,26063,651.5826885,2
83,15233,15255,687.7703105,2
84,15319,15336,733.3628024,2
