,Weight
0,0.0
1,0.0
2,0.0
3,1.6603848772145382e-05
4,6.641539508858153e-05
5,0.0
6,8.301924386072691e-06
7,0.0
8,1.6603848772145382e-05
9,0.0002656615803543261
10,0.0
11,0.0
12,0.00010792501701894498
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,8.301924386072691e-06
19,0.0
20,0.0
21,0.0
22,4.981154631643614e-05
23,0.0
24,0.0
25,0.0
26,8.301924386072691e-06
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,8.301924386072691e-06
33,4.1509621930363456e-05
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.009630232287844322
41,0.0
42,0.0
43,0.0
44,0.0034452986202201667
45,0.0
46,0.0
47,1.6603848772145382e-05
48,0.0
49,0.0
50,0.0
51,0.0
52,2.490577315821807e-05
53,8.301924386072691e-06
54,0.0
55,2.490577315821807e-05
56,0.0
57,0.0
58,0.0
59,1.6603848772145382e-05
60,0.0
61,0.0
62,8.301924386072691e-06
63,8.301924386072691e-06
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0003735865973732711
71,0.0
72,0.00023245388281003534
73,0.0
74,8.301924386072691e-06
75,0.0
76,2.490577315821807e-05
77,0.0
78,0.0
79,8.301924386072691e-06
80,8.301924386072691e-06
81,0.0
82,0.0
83,0.0
84,8.301924386072691e-06
85,0.0003735865973732711
86,0.0
87,0.0010543443970312317
88,0.0
89,0.0
90,0.0
91,0.0
92,8.301924386072691e-06
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,8.301924386072691e-06
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,1.6603848772145382e-05
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,8.301924386072691e-06
155,0.0
156,0.0
157,0.0
158,8.301924386072691e-06
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,3.3207697544290764e-05
165,0.0
166,4.981154631643614e-05
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,8.301924386072691e-06
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,8.301924386072691e-06
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,5.8113470702508835e-05
191,0.0
192,0.0
193,0.0
194,8.301924386072691e-06
195,8.301924386072691e-06
196,0.0
197,8.301924386072691e-06
198,8.301924386072691e-06
199,1.6603848772145382e-05
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,1.6603848772145382e-05
213,0.0
214,0.0
215,0.0
216,0.00023245388281003534
217,0.0
218,8.301924386072691e-06
219,0.0
220,8.301924386072691e-06
221,0.0
222,0.0
223,0.0
224,8.301924386072691e-06
225,0.0
226,9.13211682467996e-05
227,5.8113470702508835e-05
228,1.6603848772145382e-05
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,1.6603848772145382e-05
238,0.0
239,0.0
240,0.0
241,0.0
242,9.13211682467996e-05
243,9.962309263287228e-05
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.00011622694140501767
250,0.0
251,0.0
252,8.301924386072691e-06
253,0.0
254,1.6603848772145382e-05
255,0.0
256,1.6603848772145382e-05
257,8.301924386072691e-06
258,0.0
259,0.0
260,8.301924386072691e-06
261,1.6603848772145382e-05
262,0.0
263,0.0
264,8.301924386072691e-06
265,0.0
266,1.6603848772145382e-05
267,0.0
268,0.0
269,0.0
270,8.301924386072691e-06
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,8.301924386072691e-06
277,3.3207697544290764e-05
278,8.301924386072691e-06
279,0.0
280,0.0
281,8.301924386072691e-06
282,0.0
283,8.301924386072691e-05
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,4.1509621930363456e-05
290,0.0
291,8.301924386072691e-06
292,8.301924386072691e-05
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,1.6603848772145382e-05
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,2.490577315821807e-05
320,8.301924386072691e-06
321,0.0
322,8.301924386072691e-06
323,0.0
324,0.0
325,0.0
326,0.0
327,0.00010792501701894498
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,9.13211682467996e-05
337,0.0
338,0.0
339,8.301924386072691e-06
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,8.301924386072691e-06
348,0.00014113271456323573
349,4.981154631643614e-05
350,8.301924386072691e-06
351,0.0
352,1.6603848772145382e-05
353,0.0
354,0.0
355,0.0
356,0.0
357,8.301924386072691e-06
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.001768309894233483
365,0.0
366,0.0
367,1.6603848772145382e-05
368,0.0
369,0.0
370,2.490577315821807e-05
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,8.301924386072691e-06
377,0.0
378,0.0
379,4.1509621930363456e-05
380,0.0
381,0.0
382,5.8113470702508835e-05
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,8.301924386072691e-06
390,0.0
391,0.0
392,0.0
393,0.0
394,2.490577315821807e-05
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,2.490577315821807e-05
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,8.301924386072691e-06
419,0.0
420,8.301924386072691e-06
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,4.1509621930363456e-05
433,0.00293057930828366
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,8.301924386072691e-06
440,0.0
441,0.0
442,0.0
443,0.0
444,8.301924386072691e-06
445,0.0
446,0.0
447,1.6603848772145382e-05
448,0.0
449,2.490577315821807e-05
