,Weight
0,1.5371528154226765e-08
1,9.607205096391728e-10
2,9.607205096391728e-10
3,0.0002518471172788513
4,0.0002518471172788513
5,6.148611261690706e-08
6,6.296177931971283e-05
7,3.935111207482052e-06
8,1.5371528154226765e-08
9,6.296177931971283e-05
10,9.83777801870513e-07
11,9.607205096391728e-10
12,2.4594445046762824e-07
13,9.607205096391728e-10
14,3.935111207482052e-06
15,9.607205096391728e-10
16,9.607205096391728e-10
17,6.296177931971283e-05
18,9.607205096391728e-10
19,6.296177931971283e-05
20,6.148611261690706e-08
21,9.607205096391728e-10
22,6.296177931971283e-05
23,1.5371528154226765e-08
24,9.607205096391728e-10
25,3.842882038556691e-09
26,1.5740444829928207e-05
27,3.842882038556691e-09
28,9.607205096391728e-10
29,9.607205096391728e-10
30,9.607205096391728e-10
31,1.5740444829928207e-05
32,9.607205096391728e-10
33,9.607205096391728e-10
34,3.842882038556691e-09
35,2.4594445046762824e-07
36,1.5371528154226765e-08
37,9.83777801870513e-07
38,9.607205096391728e-10
39,9.83777801870513e-07
40,3.935111207482052e-06
41,3.935111207482052e-06
42,9.607205096391728e-10
43,0.0002518471172788513
44,0.0002518471172788513
45,0.0002518471172788513
46,0.0002518471172788513
47,6.296177931971283e-05
48,9.607205096391728e-10
49,9.83777801870513e-07
50,6.296177931971283e-05
51,1.5371528154226765e-08
52,0.0002518471172788513
53,3.842882038556691e-09
54,6.148611261690706e-08
55,6.296177931971283e-05
56,1.5740444829928207e-05
57,6.296177931971283e-05
58,1.5371528154226765e-08
59,3.842882038556691e-09
60,1.5371528154226765e-08
61,2.4594445046762824e-07
62,3.935111207482052e-06
63,1.5371528154226765e-08
64,6.148611261690706e-08
65,1.5371528154226765e-08
66,9.83777801870513e-07
67,0.0002518471172788513
68,0.0002518471172788513
69,9.607205096391728e-10
70,3.935111207482052e-06
71,2.4594445046762824e-07
72,1.5371528154226765e-08
73,0.0002518471172788513
74,2.4594445046762824e-07
75,0.0002518471172788513
76,9.607205096391728e-10
77,6.148611261690706e-08
78,9.607205096391728e-10
79,1.5740444829928207e-05
80,6.148611261690706e-08
81,0.0002518471172788513
82,6.296177931971283e-05
83,0.0002518471172788513
84,3.842882038556691e-09
85,1.5740444829928207e-05
86,0.0002518471172788513
87,1.5740444829928207e-05
88,9.607205096391728e-10
89,3.935111207482052e-06
90,1.5740444829928207e-05
91,0.0002518471172788513
92,9.607205096391728e-10
93,3.842882038556691e-09
94,0.0002518471172788513
95,9.607205096391728e-10
96,9.83777801870513e-07
97,6.296177931971283e-05
98,6.148611261690706e-08
99,3.842882038556691e-09
100,3.935111207482052e-06
101,6.148611261690706e-08
102,6.296177931971283e-05
103,2.4594445046762824e-07
104,3.842882038556691e-09
105,0.0002518471172788513
106,0.0002518471172788513
107,6.296177931971283e-05
108,9.607205096391728e-10
109,2.4594445046762824e-07
110,9.607205096391728e-10
111,1.5740444829928207e-05
112,1.5371528154226765e-08
113,1.5371528154226765e-08
114,1.5740444829928207e-05
115,9.607205096391728e-10
116,3.935111207482052e-06
117,6.296177931971283e-05
118,6.148611261690706e-08
119,1.5740444829928207e-05
120,6.296177931971283e-05
121,3.935111207482052e-06
122,9.83777801870513e-07
123,6.296177931971283e-05
124,9.83777801870513e-07
125,6.296177931971283e-05
126,9.83777801870513e-07
127,3.935111207482052e-06
128,1.5740444829928207e-05
129,1.5740444829928207e-05
130,1.5371528154226765e-08
131,2.4594445046762824e-07
132,6.148611261690706e-08
133,3.842882038556691e-09
134,3.935111207482052e-06
135,1.5740444829928207e-05
136,9.83777801870513e-07
137,3.935111207482052e-06
138,1.5371528154226765e-08
139,9.83777801870513e-07
140,1.5371528154226765e-08
141,1.5740444829928207e-05
142,3.842882038556691e-09
143,6.148611261690706e-08
144,0.0002518471172788513
145,2.4594445046762824e-07
146,0.0002518471172788513
147,0.0002518471172788513
148,9.83777801870513e-07
149,6.296177931971283e-05
150,2.4594445046762824e-07
151,2.4594445046762824e-07
152,6.148611261690706e-08
153,3.935111207482052e-06
154,6.148611261690706e-08
155,9.83777801870513e-07
156,6.296177931971283e-05
157,9.607205096391728e-10
158,3.842882038556691e-09
159,9.83777801870513e-07
160,3.935111207482052e-06
161,9.83777801870513e-07
162,1.5740444829928207e-05
163,6.148611261690706e-08
164,1.5371528154226765e-08
165,9.83777801870513e-07
166,6.148611261690706e-08
167,6.296177931971283e-05
168,1.5740444829928207e-05
169,6.296177931971283e-05
170,1.5371528154226765e-08
171,6.296177931971283e-05
172,3.842882038556691e-09
173,9.607205096391728e-10
174,3.842882038556691e-09
175,2.4594445046762824e-07
176,6.148611261690706e-08
177,3.842882038556691e-09
178,1.5371528154226765e-08
179,9.83777801870513e-07
180,1.5371528154226765e-08
181,9.607205096391728e-10
182,2.4594445046762824e-07
183,2.4594445046762824e-07
184,6.148611261690706e-08
185,2.4594445046762824e-07
186,1.5740444829928207e-05
187,1.5740444829928207e-05
188,6.148611261690706e-08
189,0.0002518471172788513
190,9.83777801870513e-07
191,3.842882038556691e-09
192,2.4594445046762824e-07
193,1.5740444829928207e-05
194,3.935111207482052e-06
195,1.5371528154226765e-08
196,6.148611261690706e-08
197,9.83777801870513e-07
198,1.5740444829928207e-05
199,2.4594445046762824e-07
200,6.148611261690706e-08
201,3.935111207482052e-06
202,9.83777801870513e-07
203,3.842882038556691e-09
204,6.148611261690706e-08
205,1.5371528154226765e-08
206,9.83777801870513e-07
207,3.842882038556691e-09
208,1.5371528154226765e-08
209,1.5740444829928207e-05
210,6.148611261690706e-08
211,3.935111207482052e-06
212,1.5371528154226765e-08
213,6.148611261690706e-08
214,6.148611261690706e-08
215,6.296177931971283e-05
216,0.0002518471172788513
217,9.83777801870513e-07
218,6.148611261690706e-08
219,9.607205096391728e-10
220,1.5371528154226765e-08
221,1.5740444829928207e-05
222,3.935111207482052e-06
223,9.83777801870513e-07
224,2.4594445046762824e-07
225,0.0002518471172788513
226,3.842882038556691e-09
227,3.842882038556691e-09
228,6.148611261690706e-08
