,Weight
0,8.684332591923491e-10
1,8.684332591923491e-10
2,8.684332591923491e-10
3,8.684332591923491e-10
4,8.684332591923491e-10
5,8.684332591923491e-10
6,8.684332591923491e-10
7,8.684332591923491e-10
8,8.684332591923491e-10
9,8.684332591923491e-10
10,8.684332591923491e-10
11,8.684332591923491e-10
12,8.684332591923491e-10
13,8.684332591923491e-10
14,8.684332591923491e-10
15,8.684332591923491e-10
16,8.684332591923491e-10
17,8.684332591923491e-10
18,8.684332591923491e-10
19,8.684332591923491e-10
20,8.684332591923491e-10
21,8.684332591923491e-10
22,8.684332591923491e-10
23,8.684332591923491e-10
24,8.684332591923491e-10
25,8.684332591923491e-10
26,8.684332591923491e-10
27,8.684332591923491e-10
28,8.684332591923491e-10
29,8.684332591923491e-10
30,8.684332591923491e-10
31,8.684332591923491e-10
32,8.684332591923491e-10
33,8.684332591923491e-10
34,8.684332591923491e-10
35,8.684332591923491e-10
36,8.684332591923491e-10
37,8.684332591923491e-10
38,8.684332591923491e-10
39,8.684332591923491e-10
40,8.684332591923491e-10
41,8.684332591923491e-10
42,8.684332591923491e-10
43,8.684332591923491e-10
44,8.684332591923491e-10
45,8.684332591923491e-10
46,8.684332591923491e-10
47,8.684332591923491e-10
48,8.684332591923491e-10
49,8.684332591923491e-10
50,8.684332591923491e-10
51,8.684332591923491e-10
52,8.684332591923491e-10
53,8.684332591923491e-10
54,8.684332591923491e-10
55,8.684332591923491e-10
56,8.684332591923491e-10
57,8.684332591923491e-10
58,8.684332591923491e-10
59,8.684332591923491e-10
60,8.684332591923491e-10
61,8.684332591923491e-10
62,8.684332591923491e-10
63,8.684332591923491e-10
64,8.684332591923491e-10
65,8.684332591923491e-10
66,8.684332591923491e-10
67,8.684332591923491e-10
68,8.684332591923491e-10
69,8.684332591923491e-10
70,8.684332591923491e-10
71,8.684332591923491e-10
72,8.684332591923491e-10
73,8.684332591923491e-10
74,8.684332591923491e-10
75,8.684332591923491e-10
76,8.684332591923491e-10
77,8.684332591923491e-10
78,8.684332591923491e-10
79,8.684332591923491e-10
80,8.684332591923491e-10
81,8.684332591923491e-10
82,8.684332591923491e-10
83,8.684332591923491e-10
84,8.684332591923491e-10
85,8.684332591923491e-10
86,8.684332591923491e-10
87,8.684332591923491e-10
88,8.684332591923491e-10
89,8.684332591923491e-10
90,8.684332591923491e-10
91,8.684332591923491e-10
92,8.684332591923491e-10
93,8.684332591923491e-10
94,8.684332591923491e-10
95,8.684332591923491e-10
96,8.684332591923491e-10
97,8.684332591923491e-10
98,3.557102629651862e-06
99,3.557102629651862e-06
100,3.557102629651862e-06
101,3.557102629651862e-06
102,3.557102629651862e-06
103,3.557102629651862e-06
104,3.557102629651862e-06
105,3.557102629651862e-06
106,3.557102629651862e-06
107,3.557102629651862e-06
108,3.557102629651862e-06
109,3.557102629651862e-06
110,3.557102629651862e-06
111,3.557102629651862e-06
112,3.557102629651862e-06
113,3.557102629651862e-06
114,3.557102629651862e-06
115,3.557102629651862e-06
116,3.557102629651862e-06
117,3.557102629651862e-06
118,3.557102629651862e-06
119,3.557102629651862e-06
120,3.557102629651862e-06
121,3.557102629651862e-06
122,3.557102629651862e-06
123,3.557102629651862e-06
124,3.557102629651862e-06
125,3.557102629651862e-06
126,3.557102629651862e-06
127,3.557102629651862e-06
128,3.557102629651862e-06
129,3.557102629651862e-06
130,3.557102629651862e-06
131,3.557102629651862e-06
132,3.557102629651862e-06
133,3.557102629651862e-06
134,3.557102629651862e-06
135,3.557102629651862e-06
136,3.557102629651862e-06
137,3.557102629651862e-06
138,3.557102629651862e-06
139,3.557102629651862e-06
140,3.557102629651862e-06
141,3.557102629651862e-06
142,3.557102629651862e-06
143,3.557102629651862e-06
144,3.557102629651862e-06
145,3.557102629651862e-06
146,3.557102629651862e-06
147,3.557102629651862e-06
148,3.557102629651862e-06
149,3.557102629651862e-06
150,3.557102629651862e-06
151,3.557102629651862e-06
152,3.557102629651862e-06
153,3.557102629651862e-06
154,3.557102629651862e-06
155,3.557102629651862e-06
156,3.557102629651862e-06
157,3.557102629651862e-06
158,3.557102629651862e-06
159,3.557102629651862e-06
160,3.557102629651862e-06
161,3.557102629651862e-06
162,3.557102629651862e-06
163,3.557102629651862e-06
164,3.557102629651862e-06
165,3.557102629651862e-06
166,3.557102629651862e-06
167,3.557102629651862e-06
168,3.557102629651862e-06
169,3.557102629651862e-06
170,3.557102629651862e-06
171,3.557102629651862e-06
172,3.557102629651862e-06
173,3.557102629651862e-06
174,3.557102629651862e-06
175,3.557102629651862e-06
176,3.557102629651862e-06
177,3.557102629651862e-06
178,3.557102629651862e-06
179,3.557102629651862e-06
180,3.557102629651862e-06
181,3.557102629651862e-06
182,3.557102629651862e-06
183,3.557102629651862e-06
184,3.557102629651862e-06
185,3.557102629651862e-06
186,3.557102629651862e-06
187,3.557102629651862e-06
188,3.557102629651862e-06
189,3.557102629651862e-06
190,3.557102629651862e-06
191,3.557102629651862e-06
192,3.557102629651862e-06
193,3.557102629651862e-06
194,3.557102629651862e-06
195,3.557102629651862e-06
196,3.557102629651862e-06
197,3.557102629651862e-06
198,3.557102629651862e-06
199,3.557102629651862e-06
200,3.557102629651862e-06
201,3.557102629651862e-06
202,3.557102629651862e-06
203,3.557102629651862e-06
204,3.557102629651862e-06
205,3.557102629651862e-06
206,3.557102629651862e-06
207,3.557102629651862e-06
208,3.557102629651862e-06
209,3.557102629651862e-06
210,3.557102629651862e-06
211,3.557102629651862e-06
212,3.557102629651862e-06
213,3.557102629651862e-06
214,3.557102629651862e-06
215,3.557102629651862e-06
216,3.557102629651862e-06
217,3.557102629651862e-06
218,3.557102629651862e-06
219,3.557102629651862e-06
220,3.557102629651862e-06
221,3.557102629651862e-06
222,3.557102629651862e-06
223,3.557102629651862e-06
224,3.557102629651862e-06
225,3.557102629651862e-06
226,3.557102629651862e-06
227,3.557102629651862e-06
228,3.557102629651862e-06
229,3.557102629651862e-06
230,3.557102629651862e-06
231,3.557102629651862e-06
232,3.557102629651862e-06
233,3.557102629651862e-06
234,3.557102629651862e-06
235,3.557102629651862e-06
236,3.557102629651862e-06
237,3.557102629651862e-06
238,3.557102629651862e-06
239,3.557102629651862e-06
240,3.557102629651862e-06
241,3.557102629651862e-06
242,3.557102629651862e-06
243,3.557102629651862e-06
244,3.557102629651862e-06
245,3.557102629651862e-06
246,3.557102629651862e-06
247,3.557102629651862e-06
248,3.557102629651862e-06
249,3.557102629651862e-06
250,3.557102629651862e-06
251,3.557102629651862e-06
252,3.557102629651862e-06
253,3.557102629651862e-06
254,3.557102629651862e-06
255,3.557102629651862e-06
256,3.557102629651862e-06
257,3.557102629651862e-06
258,3.557102629651862e-06
259,3.557102629651862e-06
260,3.557102629651862e-06
261,3.557102629651862e-06
262,3.557102629651862e-06
263,3.557102629651862e-06
264,3.557102629651862e-06
265,3.557102629651862e-06
266,3.557102629651862e-06
267,3.557102629651862e-06
268,3.557102629651862e-06
269,3.557102629651862e-06
270,3.557102629651862e-06
271,3.557102629651862e-06
272,3.557102629651862e-06
273,3.557102629651862e-06
274,3.557102629651862e-06
275,3.557102629651862e-06
276,3.557102629651862e-06
277,3.557102629651862e-06
278,3.557102629651862e-06
279,3.557102629651862e-06
280,3.557102629651862e-06
281,3.557102629651862e-06
282,3.557102629651862e-06
283,3.557102629651862e-06
284,3.557102629651862e-06
285,3.557102629651862e-06
286,3.557102629651862e-06
287,3.557102629651862e-06
288,3.557102629651862e-06
289,3.557102629651862e-06
290,3.557102629651862e-06
291,3.557102629651862e-06
292,3.557102629651862e-06
293,3.557102629651862e-06
294,3.557102629651862e-06
295,3.557102629651862e-06
296,3.557102629651862e-06
297,3.557102629651862e-06
298,3.557102629651862e-06
299,3.557102629651862e-06
300,3.557102629651862e-06
301,3.557102629651862e-06
302,3.557102629651862e-06
303,3.557102629651862e-06
304,3.557102629651862e-06
305,3.557102629651862e-06
306,3.557102629651862e-06
307,3.557102629651862e-06
308,3.557102629651862e-06
309,3.557102629651862e-06
310,3.557102629651862e-06
311,3.557102629651862e-06
312,3.557102629651862e-06
313,3.557102629651862e-06
314,3.557102629651862e-06
315,3.557102629651862e-06
316,3.557102629651862e-06
317,3.557102629651862e-06
318,3.557102629651862e-06
319,3.557102629651862e-06
320,3.557102629651862e-06
321,3.557102629651862e-06
322,3.557102629651862e-06
323,3.557102629651862e-06
324,3.557102629651862e-06
325,3.557102629651862e-06
326,3.557102629651862e-06
327,3.557102629651862e-06
328,3.557102629651862e-06
329,3.557102629651862e-06
330,3.557102629651862e-06
331,3.557102629651862e-06
332,3.557102629651862e-06
333,3.557102629651862e-06
334,3.557102629651862e-06
335,3.557102629651862e-06
336,3.557102629651862e-06
337,3.557102629651862e-06
338,3.557102629651862e-06
339,3.557102629651862e-06
340,3.557102629651862e-06
341,3.557102629651862e-06
342,3.557102629651862e-06
343,3.557102629651862e-06
344,3.557102629651862e-06
345,3.557102629651862e-06
346,5.691364207442979e-05
347,5.691364207442979e-05
348,5.691364207442979e-05
349,5.691364207442979e-05
350,5.691364207442979e-05
351,5.691364207442979e-05
352,5.691364207442979e-05
353,5.691364207442979e-05
354,5.691364207442979e-05
355,5.691364207442979e-05
356,5.691364207442979e-05
357,5.691364207442979e-05
358,5.691364207442979e-05
359,5.691364207442979e-05
360,5.691364207442979e-05
361,5.691364207442979e-05
362,5.691364207442979e-05
363,5.691364207442979e-05
364,5.691364207442979e-05
365,5.691364207442979e-05
366,5.691364207442979e-05
367,5.691364207442979e-05
368,5.691364207442979e-05
369,5.691364207442979e-05
370,5.691364207442979e-05
371,5.691364207442979e-05
372,5.691364207442979e-05
373,5.691364207442979e-05
374,5.691364207442979e-05
375,5.691364207442979e-05
376,5.691364207442979e-05
377,5.691364207442979e-05
378,5.691364207442979e-05
379,5.691364207442979e-05
380,5.691364207442979e-05
381,5.691364207442979e-05
382,5.691364207442979e-05
383,5.691364207442979e-05
384,5.691364207442979e-05
385,5.691364207442979e-05
386,5.691364207442979e-05
387,5.691364207442979e-05
388,5.691364207442979e-05
389,5.691364207442979e-05
390,5.691364207442979e-05
391,5.691364207442979e-05
392,5.691364207442979e-05
393,5.691364207442979e-05
394,5.691364207442979e-05
395,5.691364207442979e-05
396,5.691364207442979e-05
397,5.691364207442979e-05
398,5.691364207442979e-05
399,5.691364207442979e-05
400,5.691364207442979e-05
401,5.691364207442979e-05
402,5.691364207442979e-05
403,5.691364207442979e-05
404,5.691364207442979e-05
405,5.691364207442979e-05
406,5.691364207442979e-05
407,5.691364207442979e-05
408,5.691364207442979e-05
409,5.691364207442979e-05
410,5.691364207442979e-05
411,5.691364207442979e-05
412,5.691364207442979e-05
413,5.691364207442979e-05
414,5.691364207442979e-05
415,5.691364207442979e-05
416,5.691364207442979e-05
417,5.691364207442979e-05
418,5.691364207442979e-05
419,5.691364207442979e-05
420,5.691364207442979e-05
421,5.691364207442979e-05
422,5.691364207442979e-05
423,5.691364207442979e-05
424,5.691364207442979e-05
425,5.691364207442979e-05
426,5.691364207442979e-05
427,5.691364207442979e-05
428,5.691364207442979e-05
429,5.691364207442979e-05
430,5.691364207442979e-05
431,5.691364207442979e-05
432,5.691364207442979e-05
433,5.691364207442979e-05
434,5.691364207442979e-05
435,5.691364207442979e-05
436,5.691364207442979e-05
437,5.691364207442979e-05
438,5.691364207442979e-05
439,5.691364207442979e-05
440,5.691364207442979e-05
441,5.691364207442979e-05
442,5.691364207442979e-05
443,5.691364207442979e-05
444,5.691364207442979e-05
445,5.691364207442979e-05
446,5.691364207442979e-05
447,5.691364207442979e-05
448,5.691364207442979e-05
449,5.691364207442979e-05
450,5.691364207442979e-05
451,5.691364207442979e-05
452,5.691364207442979e-05
453,5.691364207442979e-05
454,5.691364207442979e-05
455,5.691364207442979e-05
456,5.691364207442979e-05
457,5.691364207442979e-05
458,5.691364207442979e-05
459,5.691364207442979e-05
460,5.691364207442979e-05
461,5.691364207442979e-05
462,5.691364207442979e-05
463,5.691364207442979e-05
