,Weight
0,4.883385069746032e-07
1,7.81341611159365e-06
2,7.630289171478175e-09
3,1.9075722928695436e-09
4,3.05211566859127e-08
5,1.9533540278984127e-06
6,1.9075722928695436e-09
7,3.12536644463746e-05
8,4.768930732173859e-10
9,3.05211566859127e-08
10,1.9533540278984127e-06
11,4.768930732173859e-10
12,3.12536644463746e-05
13,1.9533540278984127e-06
14,4.768930732173859e-10
15,1.220846267436508e-07
16,1.220846267436508e-07
17,4.883385069746032e-07
18,4.768930732173859e-10
19,1.9075722928695436e-09
20,3.12536644463746e-05
21,3.12536644463746e-05
22,1.9075722928695436e-09
23,1.9075722928695436e-09
24,3.05211566859127e-08
25,0.0001250146577854984
26,4.768930732173859e-10
27,0.0001250146577854984
28,0.0001250146577854984
29,1.9075722928695436e-09
30,4.883385069746032e-07
31,7.81341611159365e-06
32,1.9075722928695436e-09
33,3.05211566859127e-08
34,3.12536644463746e-05
35,1.9075722928695436e-09
36,7.81341611159365e-06
37,3.12536644463746e-05
38,3.05211566859127e-08
39,4.883385069746032e-07
40,4.768930732173859e-10
41,1.9533540278984127e-06
42,4.768930732173859e-10
43,1.9075722928695436e-09
44,1.9075722928695436e-09
45,1.220846267436508e-07
46,3.05211566859127e-08
47,3.05211566859127e-08
48,1.9075722928695436e-09
49,7.81341611159365e-06
50,7.630289171478175e-09
51,0.0001250146577854984
52,1.9533540278984127e-06
53,1.9075722928695436e-09
54,1.220846267436508e-07
55,7.81341611159365e-06
56,0.0001250146577854984
57,7.630289171478175e-09
58,3.12536644463746e-05
59,1.9075722928695436e-09
60,1.9533540278984127e-06
61,1.9075722928695436e-09
62,7.81341611159365e-06
63,0.0001250146577854984
64,4.883385069746032e-07
65,1.9075722928695436e-09
66,4.883385069746032e-07
67,4.768930732173859e-10
68,1.220846267436508e-07
69,0.0001250146577854984
70,3.05211566859127e-08
71,7.630289171478175e-09
72,4.768930732173859e-10
73,4.883385069746032e-07
74,4.883385069746032e-07
75,3.12536644463746e-05
76,4.883385069746032e-07
77,1.9075722928695436e-09
78,7.630289171478175e-09
79,1.220846267436508e-07
80,4.883385069746032e-07
81,3.12536644463746e-05
82,0.0001250146577854984
83,4.883385069746032e-07
84,7.630289171478175e-09
85,4.883385069746032e-07
86,3.05211566859127e-08
87,1.9533540278984127e-06
88,3.12536644463746e-05
89,1.220846267436508e-07
90,1.9533540278984127e-06
91,4.883385069746032e-07
92,1.9075722928695436e-09
93,1.9533540278984127e-06
94,4.883385069746032e-07
95,0.0001250146577854984
96,1.9075722928695436e-09
97,1.9533540278984127e-06
98,3.05211566859127e-08
99,4.768930732173859e-10
100,1.9075722928695436e-09
101,1.220846267436508e-07
102,4.768930732173859e-10
103,7.630289171478175e-09
104,4.768930732173859e-10
105,7.630289171478175e-09
106,4.883385069746032e-07
107,7.81341611159365e-06
108,1.9533540278984127e-06
109,3.05211566859127e-08
110,1.220846267436508e-07
111,0.0001250146577854984
112,4.768930732173859e-10
113,7.630289171478175e-09
114,0.0001250146577854984
115,3.05211566859127e-08
116,4.883385069746032e-07
117,0.0001250146577854984
118,1.220846267436508e-07
119,0.0001250146577854984
120,0.0001250146577854984
121,0.0001250146577854984
122,1.220846267436508e-07
123,1.220846267436508e-07
124,4.768930732173859e-10
125,4.883385069746032e-07
126,1.9533540278984127e-06
127,1.220846267436508e-07
128,7.630289171478175e-09
129,7.81341611159365e-06
130,3.05211566859127e-08
131,4.883385069746032e-07
132,1.9075722928695436e-09
133,1.9075722928695436e-09
134,1.220846267436508e-07
135,7.81341611159365e-06
136,7.630289171478175e-09
137,4.883385069746032e-07
138,1.9533540278984127e-06
139,1.220846267436508e-07
140,4.768930732173859e-10
141,3.05211566859127e-08
142,1.9075722928695436e-09
143,1.220846267436508e-07
144,7.630289171478175e-09
145,7.630289171478175e-09
146,1.9533540278984127e-06
147,1.9533540278984127e-06
148,1.9075722928695436e-09
149,3.12536644463746e-05
150,4.883385069746032e-07
151,4.883385069746032e-07
152,4.768930732173859e-10
153,1.9075722928695436e-09
154,3.05211566859127e-08
155,1.9533540278984127e-06
156,4.883385069746032e-07
157,7.81341611159365e-06
158,1.9075722928695436e-09
159,7.81341611159365e-06
160,3.05211566859127e-08
161,3.12536644463746e-05
162,3.05211566859127e-08
163,1.220846267436508e-07
164,3.12536644463746e-05
165,7.81341611159365e-06
166,7.630289171478175e-09
167,1.220846267436508e-07
168,7.81341611159365e-06
169,3.12536644463746e-05
170,3.05211566859127e-08
171,3.12536644463746e-05
172,1.220846267436508e-07
173,4.768930732173859e-10
174,4.768930732173859e-10
175,3.05211566859127e-08
176,7.630289171478175e-09
177,3.05211566859127e-08
178,3.05211566859127e-08
179,3.12536644463746e-05
180,1.9075722928695436e-09
181,3.12536644463746e-05
182,4.883385069746032e-07
183,1.220846267436508e-07
184,4.768930732173859e-10
185,1.9533540278984127e-06
186,3.05211566859127e-08
187,0.0001250146577854984
188,1.9533540278984127e-06
189,7.81341611159365e-06
190,1.9533540278984127e-06
191,1.9075722928695436e-09
192,7.81341611159365e-06
193,4.883385069746032e-07
194,1.9533540278984127e-06
195,3.05211566859127e-08
196,1.9533540278984127e-06
197,1.220846267436508e-07
198,1.9533540278984127e-06
199,4.883385069746032e-07
200,1.9075722928695436e-09
201,1.9075722928695436e-09
202,4.883385069746032e-07
203,7.81341611159365e-06
204,1.220846267436508e-07
205,1.9075722928695436e-09
206,3.12536644463746e-05
207,1.9533540278984127e-06
208,1.9075722928695436e-09
209,0.0001250146577854984
210,1.9075722928695436e-09
211,1.9075722928695436e-09
212,1.9075722928695436e-09
213,0.0001250146577854984
214,4.883385069746032e-07
215,3.12536644463746e-05
216,4.883385069746032e-07
217,7.630289171478175e-09
218,4.883385069746032e-07
219,4.883385069746032e-07
220,3.12536644463746e-05
221,3.12536644463746e-05
222,0.0001250146577854984
223,1.220846267436508e-07
224,4.883385069746032e-07
