,Weight
0,4.901909781417978e-07
1,4.787021270915995e-10
2,7.843055650268765e-06
3,7.659234033465591e-09
4,0.00012548889040430025
5,1.9607639125671914e-06
6,7.659234033465591e-09
7,3.137222260107506e-05
8,7.659234033465591e-09
9,7.843055650268765e-06
10,3.137222260107506e-05
11,4.901909781417978e-07
12,3.137222260107506e-05
13,3.0636936133862365e-08
14,7.659234033465591e-09
15,1.914808508366398e-09
16,1.9607639125671914e-06
17,1.2254774453544946e-07
18,3.0636936133862365e-08
19,0.00012548889040430025
20,7.843055650268765e-06
21,4.787021270915995e-10
22,0.00012548889040430025
23,7.659234033465591e-09
24,7.659234033465591e-09
25,1.9607639125671914e-06
26,7.843055650268765e-06
27,3.137222260107506e-05
28,1.9607639125671914e-06
29,1.914808508366398e-09
30,3.137222260107506e-05
31,1.2254774453544946e-07
32,3.0636936133862365e-08
33,0.00012548889040430025
34,4.787021270915995e-10
35,4.901909781417978e-07
36,3.0636936133862365e-08
37,4.787021270915995e-10
38,1.914808508366398e-09
39,3.0636936133862365e-08
40,7.659234033465591e-09
41,1.2254774453544946e-07
42,1.914808508366398e-09
43,0.00012548889040430025
44,3.137222260107506e-05
45,0.00012548889040430025
46,1.2254774453544946e-07
47,4.901909781417978e-07
48,0.00012548889040430025
49,3.137222260107506e-05
50,3.137222260107506e-05
51,4.787021270915995e-10
52,1.914808508366398e-09
53,7.843055650268765e-06
54,0.00012548889040430025
55,1.2254774453544946e-07
56,4.787021270915995e-10
57,0.00012548889040430025
58,7.843055650268765e-06
59,7.659234033465591e-09
60,7.843055650268765e-06
61,7.843055650268765e-06
62,3.0636936133862365e-08
63,4.787021270915995e-10
64,7.843055650268765e-06
65,4.901909781417978e-07
66,3.0636936133862365e-08
67,7.659234033465591e-09
68,4.787021270915995e-10
69,4.787021270915995e-10
70,7.659234033465591e-09
71,1.914808508366398e-09
72,7.659234033465591e-09
73,3.0636936133862365e-08
74,3.137222260107506e-05
75,4.787021270915995e-10
76,1.9607639125671914e-06
77,7.659234033465591e-09
78,7.659234033465591e-09
79,1.914808508366398e-09
80,0.00012548889040430025
81,4.787021270915995e-10
82,1.9607639125671914e-06
83,3.0636936133862365e-08
84,1.914808508366398e-09
85,1.2254774453544946e-07
86,3.137222260107506e-05
87,0.00012548889040430025
88,4.787021270915995e-10
89,7.843055650268765e-06
90,3.0636936133862365e-08
91,1.914808508366398e-09
92,7.843055650268765e-06
93,3.0636936133862365e-08
94,1.2254774453544946e-07
95,4.787021270915995e-10
96,1.914808508366398e-09
97,1.2254774453544946e-07
98,3.137222260107506e-05
99,7.659234033465591e-09
100,4.901909781417978e-07
